'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'46681','19085','8961','Hatchback 3-doors','1455663479','1461889030','1'
'46682','19085','8961','Cabriolet','1455663479','1461889030','1'
'46683','19210','7041','Hatchback 5-doors','1455663708','1568055243','1'
'46685','19615','9024','Coupe','1455664063','1568055251','1'
'46686','19616','7043','Hatchback','1455664066','1568055251','1'
'46687','19617','10032','Sedan','1455664068','1640032581','1'
'46688','19617','7063','Sedan 4-doors','1455664068','1640032581','1'
'46689','19614','9025','Coupe','1455664070','1568055251','1'
'46691','19618','7045','Sedan','1455664075','1461889328','1'
'46693','19604','9027','Coupe','1455664081','1461889329','1'
'46694','19603','9028','Hatchback 3-doors','1455664084','1461889329','1'
'46695','19607','10037','Coupe 2-doors','1455664086','1568055248','1'
'46696','19607','7047','Nomad Station Wagon wagon 5-doors','1455664086','1568055249','1'
'46697','19607','7047','Cabriolet','1455664086','1568055249','1'
'46698','19607','7048','Sport Sedan Hardtop','1455664086','1586393452','1'
'46699','19607','10037','Sedan','1455664086','1568055248','1'
'46700','19620','9029','Hatchback','1455664088','1568055251','1'
'46701','19601','7049','Coupe Sprint','1455664091','1462138009','1'
'46702','19601','7049','Sedan Berlina','1455664091','1462138010','1'
'46703','19602','7614','Cabriolet','1455664094','1461882007','1'
'46704','19605','9030','Sedan','1455664096','1461889333','1'
'46705','19606','9031','Coupe','1455664099','1461889334','1'
'46706','19608','9032','Cabriolet','1455664102','1461889335','1'
'46707','19609','9033','Sedan','1455664144','1461889335','1'
'46708','19610','9034','Coupe-Hardtop','1455664147','1461889336','1'
