'id_car_generation','id_car_model','name','year_begin','year_end','date_create','date_update','id_car_type'
'124288','750','4 generation','2006','2013','1575367501','1575367501','1'
'124289','750','3 generation','2000','2006','1575367501','1575367501','1'
'124290','23051','1 generation','1933','1940','1575367745','1575367745','1'
'124291','23052','1 generation','1935','1939','1575367802','1575367802','1'
'124292','23053','1 generation','1916','1928','1575368101','1575368101','1'
'124293','23054','4 generation','1969','1975','1575368582','1575368582','1'
'124294','20217','1 generation','2011','2021','1575368702','1575368702','1'
'124295','20218','1 generation','2012','2021','1575368822','1575368822','1'
'124296','23055','1 generation','1989','2001','1575368882','1575368882','1'
'124297','23056','1 generation','1984','1993','1575369182','1575369182','1'
'124298','20220','1 generation [restyling]','1977','1981','1575369302','1575369302','1'
'124299','20220','1 generation','1968','1977','1575369302','1575369302','1'
'124300','888','4 generation','1997','2002','1575369482','1575369482','1'
'124301','20223','1 generation','1963','1973','1575369602','1575369602','1'
'124302','891','2 generation [2th restyling]','2019','2019','1575369722','1575369722','1'
'124303','891','1 generation','2002','2008','1575369722','1575369722','1'
'124304','20227','E25','2001','2002','1575369782','1575369782','1'
'124305','23057','1 generation','1997','2005','1575369842','1575369842','1'
'124306','20228','1 generation [restyling]','1977','1983','1575369903','1575369903','1'
'124307','20228','1 generation','1967','1977','1575369903','1575369903','1'
'124308','893','2 generation','1990','1993','1575370082','1575370082','1'
'124309','894','KB 3 generation (TF)','1988','2003','1575370142','1575370142','1'
'124310','894','KB 2 generation','1980','1988','1575370142','1575370142','1'
'124311','23058','1 generation','2010','2021','1575370922','1575370922','1'
'124312','23059','1 generation','2014','2021','1575371162','1575371162','1'
'124313','23060','1 generation','2006','2019','1575371342','1575371342','1'
'124314','23061','1 generation [restyling]','2011','2013','1575371463','1575371463','1'
'124315','23061','1 generation','2007','2011','1575371463','1575371463','1'
'124316','23062','1 generation [restyling]','2015','2021','1575371582','1575371582','1'
'124317','23062','1 generation','2013','2019','1575371582','1575371582','1'
'124318','23063','1 generation','2018','2021','1575371702','1575371702','1'
'124322','23064','1 generation','1959','1967','1575372062','1575372062','1'
'124323','2286','1 generation [restyling]','2019','2021','1575372242','1575372242','1'
'124325','918','1 generation [restyling]','2011','2015','1575372302','1575372302','1'
'124330','919','X308 (2 generation 1997-2003)','1997','2003','1575372422','1577198612','1'
'124341','921','Ser1 generationes 3','1991','1996','1575372602','1575372602','1'
'124344','922','2 generation [2th restyling]','2011','2014','1575372662','1575372662','1'
'124345','922','2 generation [restyling]','2009','2011','1575372662','1575372662','1'
'124347','922','1 generation [restyling]','2004','2006','1575372662','1575372662','1'
'124350','922','120','1948','1954','1575372662','1575372662','1'
'124351','2332','2 generation [2th restyling]','2011','2014','1575372722','1575372722','1'
'124352','23065','1 generation','1966','1976','1575372784','1575372784','1'
'124353','20785','1 generation','2000','2021','1575372902','1575372902','1'
'124354','23066','1 generation','2007','2021','1575373382','1575373382','1'
'124355','22554','1 generation','1964','1968','1575373455','1575373455','1'
'124356','23067','1 generation','2013','2013','1575373742','1575373742','1'
'124357','20280','1 generation','1968','1969','1575374042','1575374042','1'
'124358','20281','1 generation','1966','1973','1575374342','1575374342','1'
'124359','983','1 generation [restyling]','2005','2010','1575374402','1575374402','1'
'124360','20282','1 generation','1976','1979','1575374642','1575374642','1'
'124361','23068','1 generation','1982','1986','1575374883','1575374883','1'
'124362','20284','1 generation','1953','1963','1575374942','1575374942','1'
'124363','20285','1 generation','1950','1953','1575375003','1575375003','1'
